Title,Views,Likes,Comments,Published Date,Video ID
"$1,000 Abercrombie Clothing Haul | Fall 2024 try on",97281,3542,218,2024-09-29T19:48:06Z,tub3th2F3pA
"MY $2700 BLACK FRIDAY HAUL... (ABERCROMBIE, NESPRESSO, APPLE, ETC)",9701,193,8,2024-11-30T04:03:49Z,LVC6I15zJxg
Abercrombie haul 🤍✨,2705,177,3,2024-09-24T00:50:26Z,zMvW88aRFys
10 Best Items I Bought From Abercrombie under $50,45642,1215,84,2024-05-28T13:00:36Z,cjEuCHp3SEI
HUGE Abercrombie & Fitch Try-On Haul | A&F Black Friday,9533,535,74,2024-12-10T18:01:00Z,4P5gaPnTwvs
Abercrombie spring collection - it’s a flop! ☠️ #abercrombie #abercrombiehaul #abercrombieandfitch,54354,1799,24,2023-04-21T13:55:02Z,jVTdfl1gooo
ABERCROMBIE & FITCH SUMMER TRY ON HAUL | A&F Haul,8898,232,23,2024-07-17T17:00:40Z,oG0mmk9rfKY
"Epic Men's Shopping Haul: Abercrombie, Hollister, Urban Outfitters & American Eagle",19704,620,43,2024-08-16T15:00:50Z,msCo1cQkGao
Abercrombie jeans are overrated! #abercrombie #abercrombieandfitch #abercrombiehaul #fashionreview,52702,1682,35,2023-04-25T12:51:47Z,4Z5nydIrk-M
Size 12 Abercrombie Haul #midsizefashion #abercrombie #tryonhaul,19197,260,7,2023-01-20T17:17:13Z,4C6WtvfdZGQ
Is Abercrombie Worth The Price?! Abercrombie Store Review and Mini Haul: Abercrombie and Fitch,1293,0,2,2024-02-04T17:51:41Z,V5nSkqf6-Uo
ABERCROMBIE & FITCH TRY ON HAUL | First time shopping at A&F in 10 years! Have they changed?!,307,11,0,2023-02-03T06:00:06Z,91-uQKJLiXc
abercrombie haul (i returned half of it!!) ⭐️full vid on yt⭐️ #abercrombie #haul #shoppinghaul,879,36,0,2024-06-13T22:15:00Z,2t86h5yDoUs
Husband rates my abercrombie haul 🤭 #abercrombie #shoppinghaul #husbandratesmyoutfits,1351,31,1,2024-09-09T22:00:19Z,tOqaF3J6Gfo
Abercrombie tried to rebrand…but it’s a flop,3398249,185070,3101,2023-10-11T14:00:12Z,WgDsRMUoUus
This one is for my short torso girlies🫶 #fyp #shorttorso #abercrombie #haul #shopping #momtok #OOTD,8688,260,2,2024-10-13T15:36:07Z,VDDsArH-1wo
Abercrombie sweater HAUL! ✨ #ootd #outfitinspo #abercrombie,19591,0,11,2024-10-11T16:12:51Z,KDY4w91ms24
ABERCROMBIE ! Fall buy or bye 🛍️💃🏻💕#shortsootd #momstyle #fallfashion #haul #unboxing,12940,519,3,2024-09-13T12:56:42Z,aO0gRjU-fqg
