Category: All categories,
,
Week,Abercrombie & Fitch: (Worldwide)
2020-02-02,24
2020-02-09,24
2020-02-16,25
2020-02-23,23
2020-03-01,23
2020-03-08,21
2020-03-15,19
2020-03-22,20
2020-03-29,24
2020-04-05,27
2020-04-12,26
2020-04-19,26
2020-04-26,27
2020-05-03,28
2020-05-10,27
2020-05-17,30
2020-05-24,30
2020-05-31,27
2020-06-07,29
2020-06-14,28
2020-06-21,28
2020-06-28,27
2020-07-05,28
2020-07-12,27
2020-07-19,28
2020-07-26,26
2020-08-02,29
2020-08-09,28
2020-08-16,29
2020-08-23,28
2020-08-30,27
2020-09-06,27
2020-09-13,27
2020-09-20,28
2020-09-27,28
2020-10-04,28
2020-10-11,27
2020-10-18,27
2020-10-25,28
2020-11-01,26
2020-11-08,32
2020-11-15,35
2020-11-22,54
2020-11-29,40
2020-12-06,38
2020-12-13,35
2020-12-20,35
2020-12-27,37
2021-01-03,28
2021-01-10,27
2021-01-17,26
2021-01-24,24
2021-01-31,24
2021-02-07,22
2021-02-14,23
2021-02-21,25
2021-02-28,27
2021-03-07,26
2021-03-14,27
2021-03-21,27
2021-03-28,29
2021-04-04,29
2021-04-11,28
2021-04-18,29
2021-04-25,28
2021-05-02,27
2021-05-09,28
2021-05-16,27
2021-05-23,28
2021-05-30,26
2021-06-06,27
2021-06-13,27
2021-06-20,26
2021-06-27,25
2021-07-04,24
2021-07-11,25
2021-07-18,26
2021-07-25,25
2021-08-01,26
2021-08-08,25
2021-08-15,27
2021-08-22,28
2021-08-29,26
2021-09-05,29
2021-09-12,30
2021-09-19,28
2021-09-26,27
2021-10-03,26
2021-10-10,29
2021-10-17,31
2021-10-24,28
2021-10-31,32
2021-11-07,32
2021-11-14,35
2021-11-21,57
2021-11-28,43
2021-12-05,37
2021-12-12,40
2021-12-19,37
2021-12-26,50
2022-01-02,34
2022-01-09,28
2022-01-16,24
2022-01-23,26
2022-01-30,26
2022-02-06,27
2022-02-13,27
2022-02-20,27
2022-02-27,26
2022-03-06,28
2022-03-13,29
2022-03-20,31
2022-03-27,31
2022-04-03,32
2022-04-10,38
2022-04-17,77
2022-04-24,58
2022-05-01,40
2022-05-08,35
2022-05-15,36
2022-05-22,34
2022-05-29,32
2022-06-05,31
2022-06-12,30
2022-06-19,29
2022-06-26,30
2022-07-03,29
2022-07-10,29
2022-07-17,32
2022-07-24,30
2022-07-31,31
2022-08-07,31
2022-08-14,31
2022-08-21,31
2022-08-28,31
2022-09-04,30
2022-09-11,29
2022-09-18,30
2022-09-25,31
2022-10-02,29
2022-10-09,28
2022-10-16,28
2022-10-23,26
2022-10-30,26
2022-11-06,30
2022-11-13,34
2022-11-20,57
2022-11-27,41
2022-12-04,37
2022-12-11,36
2022-12-18,32
2022-12-25,38
2023-01-01,29
2023-01-08,28
2023-01-15,26
2023-01-22,27
2023-01-29,28
2023-02-05,27
2023-02-12,26
2023-02-19,27
2023-02-26,28
2023-03-05,29
2023-03-12,28
2023-03-19,28
2023-03-26,30
2023-04-02,30
2023-04-09,32
2023-04-16,29
2023-04-23,29
2023-04-30,27
2023-05-07,26
2023-05-14,26
2023-05-21,30
2023-05-28,28
2023-06-04,29
2023-06-11,28
2023-06-18,25
2023-06-25,25
2023-07-02,26
2023-07-09,26
2023-07-16,28
2023-07-23,27
2023-07-30,29
2023-08-06,32
2023-08-13,30
2023-08-20,29
2023-08-27,31
2023-09-03,28
2023-09-10,30
2023-09-17,31
2023-09-24,32
2023-10-01,42
2023-10-08,31
2023-10-15,30
2023-10-22,30
2023-10-29,32
2023-11-05,38
2023-11-12,37
2023-11-19,76
2023-11-26,52
2023-12-03,40
2023-12-10,39
2023-12-17,38
2023-12-24,44
2023-12-31,36
2024-01-07,35
2024-01-14,35
2024-01-21,32
2024-01-28,33
2024-02-04,34
2024-02-11,34
2024-02-18,36
2024-02-25,35
2024-03-03,42
2024-03-10,38
2024-03-17,37
2024-03-24,41
2024-03-31,38
2024-04-07,40
2024-04-14,37
2024-04-21,39
2024-04-28,38
2024-05-05,40
2024-05-12,41
2024-05-19,39
2024-05-26,38
2024-06-02,39
2024-06-09,35
2024-06-16,33
2024-06-23,29
2024-06-30,31
2024-07-07,36
2024-07-14,35
2024-07-21,34
2024-07-28,34
2024-08-04,39
2024-08-11,41
2024-08-18,38
2024-08-25,45
2024-09-01,40
2024-09-08,42
2024-09-15,36
2024-09-22,38
2024-09-29,37
2024-10-06,42
2024-10-13,42
2024-10-20,75
2024-10-27,42
2024-11-03,44
2024-11-10,51
2024-11-17,52
2024-11-24,100
2024-12-01,67
2024-12-08,56
2024-12-15,50
2024-12-22,56
2024-12-29,48
2025-01-05,39
2025-01-12,40
2025-01-19,37
2025-01-26,36
2025-02-02,37
